,player_name,player_short_name,player_id,player_birthdate,team_name,team_id,match_name,match_id,match_date,competition_name,competition_id,season_name,season_id,competition_edition_id,position,position_group,minutes_full_all,physical_check_passed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,psv99,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr,timetohsrpostcod,explacceltosprint_count_full_all,timetosprint,timetosprintpostcod,cod_count_full_all,timeto505around90,timeto505around180
0,Nilson Evair Loyola Morales,N. Loyola,11859,1994-10-26,ADC Juan Pablo II College,4582,ADC Juan Pablo II College v Sporting Cristal,2032496,2025-09-21,PER - Primera Division,139,2025/2025,128,1089,LB,Full Back,98.27,True,9954.0,101.3,1271.0,570.0,54.0,161.0,10.0,731.0,64.0,29.3,116.0,5.0,100.0,18.0,3.0,0.8,0.8,0.0,,,32.0,2.03,
1,Nilson Evair Loyola Morales,N. Loyola,11859,1994-10-26,ADC Juan Pablo II College,4582,Ayacucho FC v ADC Juan Pablo II College,2033040,2025-09-25,PER - Primera Division,139,2025/2025,128,1089,LWB,Full Back,32.67,True,3163.0,96.83,383.0,204.0,16.0,96.0,3.0,300.0,19.0,27.1,34.0,2.0,27.0,6.0,0.0,,,0.0,,,5.0,2.72,3.11
2,Nilson Evair Loyola Morales,N. Loyola,11859,1994-10-26,ADC Juan Pablo II College,4582,ADC Juan Pablo II College v Asociación Deportiva Tarma,2034481,2025-09-30,PER - Primera Division,139,2025/2025,128,1089,LB,Full Back,98.67,True,9798.0,99.3,1245.0,530.0,46.0,167.0,7.0,697.0,53.0,27.6,112.0,7.0,97.0,20.0,6.0,0.69,0.69,0.0,,,36.0,2.42,2.98
3,Nilson Evair Loyola Morales,N. Loyola,11859,1994-10-26,ADC Juan Pablo II College,4582,Club Universitario de Deportes v ADC Juan Pablo II College,2036762,2025-10-05,PER - Primera Division,139,2025/2025,128,1089,LWB,Full Back,47.08,True,5773.0,122.61,791.0,322.0,30.0,97.0,3.0,419.0,33.0,28.5,48.0,3.0,35.0,10.0,0.0,,,0.0,,,25.0,2.25,3.37
4,Nilson Evair Loyola Morales,N. Loyola,11859,1994-10-26,ADC Juan Pablo II College,4582,ADC Juan Pablo II College v CD Comerciantes Unidos,2038400,2025-10-24,PER - Primera Division,139,2025/2025,128,1089,LB,Full Back,83.83,True,8549.0,101.98,1127.0,426.0,41.0,95.0,4.0,521.0,45.0,28.5,100.0,8.0,81.0,21.0,7.0,0.77,1.02,2.0,1.37,,22.0,2.87,2.65
5,Nilson Evair Loyola Morales,N. Loyola,11859,1994-10-26,ADC Juan Pablo II College,4582,ADC Juan Pablo II College v Club Atlético Grau,2041499,2025-11-08,PER - Primera Division,139,2025/2025,128,1089,LB,Full Back,96.25,True,8591.0,89.26,981.0,492.0,44.0,124.0,9.0,616.0,53.0,27.1,105.0,5.0,82.0,17.0,5.0,0.84,0.84,2.0,1.63,1.63,31.0,2.32,3.07
6,Nilson Evair Loyola Morales,N. Loyola,11859,1994-10-26,ADC Juan Pablo II College,4582,Club Social Deportivo Alianza Universidad v ADC Juan Pablo II College,2044987,2025-11-23,PER - Primera Division,139,2025/2025,128,1089,LWB,Full Back,48.18,True,4870.0,101.07,652.0,193.0,22.0,71.0,3.0,264.0,25.0,30.5,57.0,3.0,55.0,7.0,2.0,0.73,,2.0,1.38,,16.0,2.59,2.95
7,Emiliano Agustín Villar Vidal,E. Villar,38135,1999-10-21,ADC Juan Pablo II College,4582,Club Alianza Lima v ADC Juan Pablo II College,2006699,2025-02-22,PER - Primera Division,139,2025/2025,128,1089,CF,Center Forward,100.47,True,9803.0,97.57,1301.0,680.0,65.0,231.0,15.0,911.0,80.0,28.6,93.0,6.0,73.0,21.0,4.0,0.72,,2.0,2.04,,38.0,2.11,3.51
8,Emiliano Agustín Villar Vidal,E. Villar,38135,1999-10-21,ADC Juan Pablo II College,4582,Sport Boys Association v ADC Juan Pablo II College,2006770,2025-02-09,PER - Primera Division,139,2025/2025,128,1089,CF,Center Forward,78.05,True,8430.0,108.01,1147.0,624.0,50.0,171.0,10.0,795.0,60.0,28.4,92.0,7.0,73.0,18.0,6.0,0.76,0.76,1.0,1.83,,30.0,2.21,2.75
9,Emiliano Agustín Villar Vidal,E. Villar,38135,1999-10-21,ADC Juan Pablo II College,4582,Deportivo Binacional v ADC Juan Pablo II College,2006883,2025-03-10,PER - Primera Division,139,2025/2025,128,1089,CF,Center Forward,75.27,True,7058.0,93.77,731.0,447.0,38.0,95.0,9.0,542.0,47.0,27.1,63.0,5.0,56.0,11.0,5.0,0.91,0.91,2.0,1.47,1.47,26.0,1.86,3.1
